"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Feb 21 15:10:57 GMT 2024","Wed Feb 21 15:10:57 GMT 2024","0","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchTResultTest","searchTResultTest",""
"skipped","Wed Feb 21 15:10:57 GMT 2024","Wed Feb 21 15:10:57 GMT 2024","1","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"skipped","Wed Feb 21 15:10:56 GMT 2024","Wed Feb 21 15:10:56 GMT 2024","1","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","calcTest","calcTest",""
"passed","Sun Dec 10 17:58:06 GMT 2023","Sun Dec 10 17:58:18 GMT 2023","12284","Default Suite","PomTests","coockieEnter.LoginWithCoockies","coockieEnter.LoginWithCoockies","openPage","openPage",""
"broken","Wed Feb 21 15:10:57 GMT 2024","Wed Feb 21 15:10:57 GMT 2024","0","Command line suite","Command line test","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","setUp","setUp",""
"passed","Sun Dec 10 16:07:30 GMT 2023","Sun Dec 10 16:07:38 GMT 2023","7436","Default Suite","PomTests","coockieEnter.LoginWhisCoockies","coockieEnter.LoginWhisCoockies","openPage","openPage",""
"skipped","Wed Feb 21 15:10:56 GMT 2024","Wed Feb 21 15:10:56 GMT 2024","0","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","exampleSimpleTest","exampleSimpleTest",""
"skipped","Wed Feb 21 15:10:57 GMT 2024","Wed Feb 21 15:10:57 GMT 2024","0","Command line suite","Command line test","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","loginUserTest","loginUserTest",""
"skipped","Wed Feb 21 15:10:57 GMT 2024","Wed Feb 21 15:10:57 GMT 2024","0","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"broken","Wed Feb 21 15:10:56 GMT 2024","Wed Feb 21 15:10:56 GMT 2024","1","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","setUp","setUp",""
"passed","Sun Dec 10 18:13:59 GMT 2023","Sun Dec 10 18:14:08 GMT 2023","9222","Default Suite","PomTests","coockieEnter.LoginWithCoockies","coockieEnter.LoginWithCoockies","loginWithCoockies","loginWithCoockies",""
"broken","Sun Dec 03 14:40:05 GMT 2023","Sun Dec 03 14:40:05 GMT 2023","1","Default Suite","PomTests","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","tearDown","tearDown",""
"skipped","Wed Feb 21 15:10:57 GMT 2024","Wed Feb 21 15:10:57 GMT 2024","1","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"skipped","Wed Feb 21 15:10:57 GMT 2024","Wed Feb 21 15:10:57 GMT 2024","1","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"skipped","Wed Feb 21 15:10:57 GMT 2024","Wed Feb 21 15:10:57 GMT 2024","0","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","firstTest","firstTest",""
"skipped","Wed Feb 21 15:10:57 GMT 2024","Wed Feb 21 15:10:57 GMT 2024","0","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"broken","Wed Feb 21 15:10:53 GMT 2024","Wed Feb 21 15:10:56 GMT 2024","2944","Command line suite","Command line test","coockieEnter.LoginWithCoockiesTest","coockieEnter.LoginWithCoockiesTest","loginWithCoockiesTest","loginWithCoockiesTest",""
"skipped","Wed Feb 21 15:10:57 GMT 2024","Wed Feb 21 15:10:57 GMT 2024","1","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","firstTest","firstTest",""
"passed","Sun Dec 03 14:29:01 GMT 2023","Sun Dec 03 14:29:05 GMT 2023","4425","Default Suite","PomTests","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","logon","logon",""
"broken","Wed Feb 21 15:10:57 GMT 2024","Wed Feb 21 15:10:57 GMT 2024","0","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","setUp","setUp",""
